CODCP_INEI,CODCCPP,CEN_POB,CODGEO,D_DPTO,D_PROV,D_DIST,D_REGION,REGION
604170028,549844,SAUCE / SAUCE PAMPA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170027,531550,ALICOMPATA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170025,514106,NUEVO SAN MARTIN,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170019,531114,JALCANUNGO,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
,524481,CHUSPACHAMANA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170006,574290,PUÑA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170007,539479,NUEVO ORIENTE,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170016,549800,VILCASIT,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170011,540277,RAMOSPAMPA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170035,548036,GRANERO,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170043,545285,AYAQUE,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604190002,211118,NOGAL,60419,CAJAMARCA,CHOTA,CHALAMARCA,DRE CAJAMARCA,CAJAMARCA
604190008,518602,CHALAMARCA BAJA,60419,CAJAMARCA,CHOTA,CHALAMARCA,DRE CAJAMARCA,CAJAMARCA
604170020,244512,EL CARDON,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170008,625073,SANTO DOMINGO,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170050,572852,ALTO VERDE,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170004,545625,AZAFRAN,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604170014,525717,SAN JUAN DE TACABAMBA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604080019,246587,PENCALOMA,60408,CAJAMARCA,CHOTA,CONCHAN,DRE CAJAMARCA,CAJAMARCA
604080029,133309,CHAMES,60408,CAJAMARCA,CHOTA,CONCHAN,DRE CAJAMARCA,CAJAMARCA
604080006,516150,LASCAN,60408,CAJAMARCA,CHOTA,CONCHAN,DRE CAJAMARCA,CAJAMARCA
604070013,522166,LA PALMA,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604070002,573745,CHIPLE BAJO,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604070015,624776,SANTA ISOLINA BAJO,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604070027,573289,EL REJO NUEVO PORVENIR,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604070022,573473,MAMARRURIBAMBA BAJO,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604070017,540753,HUERTAS,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604070008,118870,SEXEPAMPA,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
,512229,EL ALISO,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604090014,511750,LOS TOCHES,60409,CAJAMARCA,CHOTA,HUAMBOS,DRE CAJAMARCA,CAJAMARCA
604010045,529954,SAN ANTONIO DE IRANA,60401,CAJAMARCA,CHOTA,CHOTA,DRE CAJAMARCA,CAJAMARCA
604150011,111400,LA RAYA,60415,CAJAMARCA,CHOTA,QUEROCOTO,DRE CAJAMARCA,CAJAMARCA
604070016,573939,SANTA ISOLINA ALTO,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604050004,574042,ALTO PONGOYA,60405,CAJAMARCA,CHOTA,CHIMBAN,DRE CAJAMARCA,CAJAMARCA
604170062,614060,CENTRO PALMA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
